,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,110,110,110,110,110,110,110,110,110,110,110,114,114
Reserves,19363,21286,23647,25618,13268,14026,14979,14646,16837,17049,22147,32937,36558
Borrowings,69479,69332,71980,83571,19169,20846,17637,11243,12419,16227,41604,53200,57145
Other Liabilities,18008,21143,22365,21420,9132,12630,23679,16537,17509,18231,37726,55027,54334
Total Liabilities,106960,111871,118102,130718,41679,47611,56405,42536,46875,51617,101586,141278,148150
Fixed Assets,37735,48770,70579,83834,10473,13668,10555,9020,10476,10838,30123,56881,67304
CWIP,37221,29248,13574,6733,7705,7731,5526,5765,7347,8825,23544,24025,22348
Investments,542,323,288,744,805,1042,1461,1511,1952,5503,4292,6310,7735
Other Assets,31463,33529,33661,39407,22696,25170,38864,26240,27099,26451,43627,54062,50763
Total Assets,106960,111871,118102,130718,41679,47611,56405,42536,46875,51617,101586,141278,148150
