,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1274,1564,1564,1564,1564,1564,1584,1584
Reserves,-71,-223,369,792,636,1050,5720,6349
Borrowings,4347,9864,11142,14867,24209,52832,54223,57378
Other Liabilities,610,4503,1582,1201,2283,3508,5382,6168
Total Liabilities,6160,15709,14658,18424,28692,58954,66909,71479
Fixed Assets,4341,9120,10388,12554,16429,28452,48336,49501
CWIP,267,1725,743,1208,4452,19899,5291,6480
Investments,26,87,77,477,502,574,1149,1840
Other Assets,1525,4777,3449,4185,7309,10029,12133,13658
Total Assets,6160,15709,14658,18424,28692,58954,66909,71479
