,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,401,401,414,414,414,414,414,414,406,406,422,432,432.0
Reserves,4412,5993,8351,10351,13091,17112,20489,23958,25051,30035,41399,44985,48261.0
Preference Capital,3,3,3,3,0,0,258,266,264,272,282,292,
Borrowings,17565,11617,12976,17773,22342,22214,22112,27446,29979,35583,47653,53136,50060.0
Other Liabilities,3536,3025,2936,3544,2538,3629,4217,4493,6481,8557,8853,14152,15369.0
Total Liabilities,25914,21035,24677,32082,38385,43369,47233,56311,61917,74582,98328,112705,114123.0
Fixed Assets,18428,11382,13163,20527,20883,21054,22670,28121,32715,48291,62553,72838,73711.0
CWIP,3638,2951,2025,1276,1967,4514,4545,4483,3216,3697,4023,6814,8779.0
Investments,70,222,63,260,545,1161,1079,782,1178,2236,3161,7587,4935.0
Other Assets,3778,6480,9426,10020,14990,16641,18938,22924,24808,20358,28591,25466,26698.0
Total Assets,25914,21035,24677,32082,38385,43369,47233,56311,61917,74582,98328,112705,114123.0
