,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2697.0,3577.0,4830.0,6152.0,7109.0,8439.0,11323.0,10925.0,11873.0,12550.0,17119.0,20852.0,23477
Expenses,952.0,1195.0,1910.0,2250.0,2532.0,3021.0,4166.0,4330.0,5926.0,3862.0,7591.0,9905.0,10156
Operating Profit,1746.0,2382.0,2919.0,3902.0,4577.0,5418.0,7157.0,6596.0,5947.0,8688.0,9528.0,10947.0,13320
OPM %,65.0,67.0,60.0,63.0,64.0,64.0,63.0,60.0,50.0,69.0,56.0,52.0,57
Other Income,34.0,344.0,685.0,686.0,730.0,1037.0,844.0,1289.0,1928.0,1967.0,1832.0,328.0,-319
Interest,281.0,542.0,977.0,1175.0,1124.0,1116.0,1579.0,1385.0,1951.0,2255.0,2544.0,2363.0,2309
Depreciation,316.0,422.0,649.0,912.0,1063.0,1160.0,1188.0,1373.0,1680.0,2107.0,3099.0,3423.0,3653
Profit before tax,1182.0,1762.0,1978.0,2501.0,3119.0,4179.0,5234.0,5126.0,4244.0,6292.0,5717.0,5489.0,7040
Tax %,8.0,7.0,12.0,7.0,9.0,7.0,30.0,21.0,11.0,20.0,13.0,2.0,
Net Profit,1093.0,1639.0,1741.0,2324.0,2856.0,3902.0,3690.0,4045.0,3785.0,5049.0,4953.0,5393.0,6358
EPS in Rs,5.5,8.1,8.4,11.18,13.99,18.89,17.74,19.27,18.52,24.58,23.13,24.58,29.33
