,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2180,2393,2872,2872,3334,3857,3857,3857,3857,3857,3857,3857,3857.0
Reserves,3862,1900,3671,2853,4134,-857,-2968,3855,2624,9256,14600,25772,36652.0
Preference Capital,0,0,0,0,0,0,0,0,76,88,401,416,
Borrowings,38600,41795,44150,44742,52729,52484,52835,46980,55123,52430,48744,42181,32367.0
Other Liabilities,6741,8599,8045,8008,15597,16027,15804,13293,13422,13263,14780,14012,16833.0
Total Liabilities,51384,54688,58739,58474,75794,71511,69528,67985,75025,78806,81981,85821,89709.0
Fixed Assets,15804,29089,46365,45080,56941,54391,52137,50419,55846,52851,53274,51451,65501.0
CWIP,26721,18976,3660,191,88,125,120,350,2347,6439,10270,12880,461.0
Investments,19,22,115,357,0,164,0,3,3,20,183,654,110.0
Other Assets,8839,6600,8599,12846,18765,16831,17271,17213,16830,19495,18254,20836,23638.0
Total Assets,51384,54688,58739,58474,75794,71511,69528,67985,75025,78806,81981,85821,89709.0
