,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,257,110,110,110,110,110,110.0
Reserves,759,992,1361,1824,2306,2831,3126.0
Preference Capital,0,0,0,0,0,0,
Borrowings,1345,394,428,529,1035,1422,1356.0
Other Liabilities,442,552,577,741,964,1282,1350.0
Total Liabilities,2803,2048,2476,3204,4415,5645,5943.0
Fixed Assets,897,980,1198,1379,1733,2335,2518.0
CWIP,102,190,342,696,1171,1619,1641.0
Investments,180,176,282,417,634,682,696.0
Other Assets,1624,701,655,711,878,1010,1088.0
Total Assets,2803,2048,2476,3204,4415,5645,5943.0
