,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1374.0,1719.0,1875.0,1696.0,3038.0,4378.0,4372
Expenses,1008.0,1264.0,1280.0,991.0,2265.0,3508.0,3425
Operating Profit,366.0,455.0,595.0,704.0,773.0,870.0,947
OPM %,27.0,26.0,32.0,42.0,25.0,20.0,22
Other Income,80.0,59.0,44.0,30.0,46.0,54.0,43
Interest,125.0,90.0,41.0,40.0,53.0,78.0,89
Depreciation,61.0,67.0,51.0,63.0,83.0,113.0,132
Profit before tax,259.0,357.0,547.0,631.0,684.0,733.0,768
Tax %,36.0,36.0,20.0,25.0,26.0,25.0,
Net Profit,162.0,229.0,436.0,463.0,509.0,546.0,571
EPS in Rs,6.31,2.08,3.97,4.21,4.63,4.97,5.20
