,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,67,70,70,70,70,70,70,70,70,72,72,72,72
Reserves,2401,2677,2907,3102,3262,3244,3182,3264,3270,4531,5551,6126,6437
Borrowings,817,1213,1344,1992,2834,3125,3427,3673,3596,4160,4068,4332,4889
Other Liabilities,698,854,1029,1296,1195,1665,1917,2159,4354,2629,3570,3886,4163
Total Liabilities,3983,4814,5350,6459,7360,8103,8596,9166,11289,11392,13261,14416,15561
Fixed Assets,2011,2341,2681,3244,3997,4591,4773,4982,7432,6778,8296,8520,8894
CWIP,209,403,491,533,562,347,712,822,236,234,46,610,727
Investments,564,527,322,311,352,406,352,462,434,1343,816,574,853
Other Assets,1198,1543,1855,2372,2448,2759,2759,2901,3187,3037,4104,4712,5087
Total Assets,3983,4814,5350,6459,7360,8103,8596,9166,11289,11392,13261,14416,15561
