,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3148.0,3769.0,4357.0,5129.0,6150.0,7256.0,8243.0,9617.0,11247.0,10560.0,14663.0,16612.0,17830
Expenses,2631.0,3157.0,3681.0,4392.0,5465.0,6522.0,7442.0,8548.0,9656.0,9420.0,12474.0,14548.0,15722
Operating Profit,517.0,612.0,676.0,737.0,684.0,734.0,801.0,1070.0,1591.0,1140.0,2189.0,2065.0,2108
OPM %,16.0,16.0,16.0,14.0,11.0,10.0,10.0,11.0,14.0,11.0,15.0,12.0,12
Other Income,22.0,33.0,18.0,47.0,92.0,60.0,24.0,26.0,222.0,103.0,368.0,75.0,116
Interest,89.0,103.0,119.0,118.0,180.0,257.0,295.0,327.0,533.0,449.0,379.0,381.0,413
Depreciation,124.0,142.0,168.0,212.0,264.0,314.0,359.0,396.0,620.0,573.0,601.0,615.0,643
Profit before tax,326.0,399.0,407.0,455.0,332.0,222.0,171.0,373.0,660.0,221.0,1578.0,1144.0,1168
Tax %,35.0,26.0,25.0,29.0,29.0,41.0,65.0,47.0,34.0,38.0,30.0,22.0,
Net Profit,218.0,303.0,315.0,335.0,235.0,131.0,60.0,200.0,432.0,137.0,1108.0,844.0,730
EPS in Rs,16.31,21.88,22.77,24.43,16.99,15.88,8.44,16.96,32.7,10.46,73.42,56.97,48.51
