,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,96,96,96,96,96,96,96,96,96,96,96,96,96
Reserves,2653,3288,3943,4646,6429,7508,8314,9375,10034,12710,13716,15896,16466
Borrowings,341,251,249,418,323,560,533,1320,1118,1093,1587,1933,2327
Other Liabilities,2623,3149,3787,3754,3711,4241,4820,5459,4889,6456,7560,7854,8533
Total Liabilities,5712,6784,8075,8914,10559,12405,13763,16249,16138,20355,22958,25779,27422
Fixed Assets,1301,2441,2562,2660,3416,3304,3732,6497,6272,5859,5519,5770,6303
CWIP,617,59,72,196,107,258,1405,210,140,183,426,1020,1999
Investments,355,296,1424,1588,2712,2652,2141,2569,2019,4737,3248,4262,4641
Other Assets,3440,3989,4019,4471,4324,6192,6485,6974,7707,9577,13765,14728,14478
Total Assets,5712,6784,8075,8914,10559,12405,13763,16249,16138,20355,22958,25779,27422
