,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9231.0,10504.0,12220.0,13615.0,14271.0,15062.0,16825.0,19240.0,20211.0,21713.0,29101.0,34489.0,35085
Expenses,7720.0,8767.0,10217.0,11372.0,11546.0,12068.0,13621.0,15475.0,16054.0,16857.0,24298.0,28229.0,27771
Operating Profit,1511.0,1737.0,2004.0,2243.0,2725.0,2994.0,3204.0,3765.0,4157.0,4856.0,4804.0,6260.0,7314
OPM %,16.0,17.0,16.0,16.0,19.0,20.0,19.0,20.0,21.0,22.0,17.0,18.0,21
Other Income,107.0,114.0,124.0,142.0,213.0,338.0,336.0,274.0,355.0,332.0,296.0,431.0,648
Interest,43.0,42.0,48.0,42.0,49.0,37.0,41.0,110.0,102.0,92.0,95.0,144.0,177
Depreciation,121.0,155.0,246.0,266.0,276.0,335.0,360.0,622.0,780.0,791.0,816.0,858.0,841
Profit before tax,1454.0,1655.0,1834.0,2077.0,2614.0,2960.0,3138.0,3306.0,3629.0,4304.0,4188.0,5689.0,6944
Tax %,30.0,30.0,31.0,31.0,32.0,32.0,33.0,33.0,24.0,26.0,26.0,26.0,
Net Profit,1021.0,1160.0,1263.0,1427.0,1803.0,2016.0,2098.0,2208.0,2774.0,3207.0,3085.0,4195.0,5163
EPS in Rs,10.31,11.61,12.71,14.54,18.19,20.22,21.26,22.48,28.2,32.73,31.59,42.81,52.78
