,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,534,544,547,562,562,624,624,624,648,648,648,648,651
Reserves,148,245,409,638,959,3218,4045,4963,10432,11536,13030,15430,16779
Borrowings,381,526,641,904,1192,1497,439,700,333,393,647,643,630
Other Liabilities,128,176,211,251,389,480,540,718,663,1079,1146,1383,1527
Total Liabilities,1191,1492,1808,2355,3102,5819,5648,7006,12076,13655,15471,18105,19587
Fixed Assets,779,925,1172,1528,2094,2578,3400,4400,5948,7009,9260,11340,12012
CWIP,85,118,89,98,82,153,147,377,364,1020,1129,829,1021
Investments,23,16,16,15,29,26,68,17,15,3,6,202,327
Other Assets,304,433,532,713,897,3063,2033,2212,5749,5624,5076,5733,6227
Total Assets,1191,1492,1808,2355,3102,5819,5648,7006,12076,13655,15471,18105,19587
