,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2209.0,3341.0,4686.0,6439.0,8584.0,11898.0,15033.0,20005.0,24870.0,24143.0,30976.0,42840.0,46653
Expenses,2071.0,3126.0,4345.0,5983.0,7919.0,10929.0,13680.0,18371.0,22742.0,22398.0,28474.0,39201.0,42876
Operating Profit,138.0,215.0,341.0,456.0,664.0,969.0,1353.0,1633.0,2128.0,1745.0,2502.0,3639.0,3777
OPM %,6.0,6.0,7.0,7.0,8.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,8
Other Income,14.0,15.0,16.0,20.0,17.0,28.0,88.0,48.0,60.0,194.0,114.0,128.0,140
Interest,26.0,43.0,56.0,72.0,91.0,122.0,60.0,47.0,69.0,42.0,54.0,67.0,63
Depreciation,37.0,46.0,57.0,82.0,98.0,128.0,159.0,212.0,374.0,414.0,498.0,639.0,669
Profit before tax,89.0,141.0,245.0,323.0,492.0,747.0,1222.0,1422.0,1745.0,1483.0,2064.0,3060.0,3186
Tax %,32.0,34.0,34.0,34.0,35.0,36.0,34.0,37.0,25.0,26.0,28.0,22.0,
Net Profit,60.0,94.0,161.0,212.0,320.0,479.0,806.0,902.0,1301.0,1099.0,1492.0,2378.0,2332
EPS in Rs,1.13,1.73,2.95,3.77,5.7,7.67,12.92,14.46,20.09,16.97,23.04,36.69,35.90
