,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,413,468,470,474,477,479,513,514,564,613,614,615,616.0
Reserves,22269,32690,37926,44475,53082,55901,63694,67288,85776,102981,117647,129166,
Borrowings,254059,296254,333280,406638,472150,527437,611425,711996,797337,850551,1020943,1152038,
Other Liabilities,8675,11145,14674,15656,20678,27644,28071,34248,44194,46859,56576,62598,
Total Liabilities,285417,340558,386350,467243,546387,611462,703703,814046,927872,1001005,1195779,1344418,
Fixed Assets,2204,2245,2346,2447,3358,3518,3697,3842,3912,4501,4753,5000,
CWIP,80,142,102,105,216,292,352,288,483,118,215,142,
Investments,92921,113378,113093,118527,131399,129018,153037,174056,155282,225336,274608,288095,
Other Assets,190211,224792,270810,346164,411414,478633,546618,635860,768196,771050,916203,1051181,
Total Assets,285417,340558,386350,467243,546387,611462,703703,814046,927872,1001005,1195779,1344418,
