,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,21995.0,27202.0,30736.0,35727.0,41409.0,45175.0,46614.0,56044.0,63716.0,64397.0,68846.0,87448.0,101136
Interest,13969.0,17513.0,18703.0,21341.0,24344.0,26789.0,27604.0,33883.0,37996.0,34627.0,34923.0,43389.0,52395
Expenses,6895.0,8538.0,9944.0,11521.0,13869.0,24327.0,29717.0,28020.0,35976.0,32621.0,31207.0,18501.0,36562
Financing Profit,1131.0,1151.0,2089.0,2865.0,3196.0,-5941.0,-10706.0,-5860.0,-10256.0,-2851.0,2716.0,25558.0,12178
Financing Margin %,5.0,4.0,7.0,8.0,8.0,-13.0,-23.0,-10.0,-16.0,-4.0,4.0,29.0,12
Other Income,5487.0,6833.0,7766.0,8838.0,9955.0,12422.0,11863.0,14189.0,16342.0,13577.0,17262.0,6209.0,9493
Depreciation,348.0,359.0,375.0,420.0,461.0,527.0,591.0,737.0,806.0,976.0,1049.0,13146.0,0
Profit before tax,6270.0,7625.0,9479.0,11283.0,12690.0,5954.0,566.0,7592.0,5280.0,9750.0,18929.0,18621.0,21671
Tax %,33.0,31.0,33.0,34.0,34.0,33.0,18.0,34.0,64.0,26.0,25.0,42.0,
Net Profit,4220.0,5235.0,6311.0,7450.0,8358.0,3967.0,464.0,5047.0,1879.0,7252.0,14207.0,10919.0,13224
EPS in Rs,20.42,22.37,26.86,31.42,35.04,16.51,1.78,19.59,6.57,23.49,45.99,35.16,42.60
