,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,289,289,289,289,289,289,289,289,289,289,289,283,283
Reserves,5792,7776,9878,10806,13731,17567,20136,22944,21373,26984,29570,29079,29048
Borrowings,150,116,59,112,118,120,121,125,126,121,123,124,125
Other Liabilities,4894,4461,5081,4758,3102,3661,4595,5476,4722,6207,5129,5651,7011
Total Liabilities,11126,12642,15308,15966,17240,21638,25141,28834,26510,33602,35111,35136,36467
Fixed Assets,1920,2355,2660,2448,2026,2002,1878,1764,1699,1668,1836,2842,2944
CWIP,42,294,144,255,52,42,56,48,60,16,77,85,52
Investments,4473,6059,8448,8985,11067,15477,18895,20603,19914,24687,26634,26183,26304
Other Assets,4692,3934,4056,4277,4095,4117,4312,6420,4837,7232,6564,6026,7167
Total Assets,11126,12642,15308,15966,17240,21638,25141,28834,26510,33602,35111,35136,36467
