,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,19582.0,20025.0,20137.0,21595.0,22574.0,21755.0,25210.0,30358.0,29919.0,27741.0,33145.0,36455.0,39398
Expenses,15901.0,16370.0,15974.0,17467.0,17781.0,17326.0,20364.0,25160.0,24809.0,22803.0,27886.0,29991.0,31921
Operating Profit,3681.0,3656.0,4163.0,4128.0,4793.0,4429.0,4846.0,5198.0,5109.0,4938.0,5259.0,6465.0,7477
OPM %,19.0,18.0,21.0,19.0,21.0,20.0,19.0,17.0,17.0,18.0,16.0,18.0,19
Other Income,502.0,790.0,674.0,228.0,1194.0,1468.0,1404.0,2028.0,1832.0,1570.0,2671.0,1703.0,1769
Interest,23.0,1.0,1.0,6.0,1.0,1.0,1.0,4.0,3.0,7.0,9.0,40.0,43
Depreciation,147.0,168.0,181.0,267.0,307.0,307.0,315.0,266.0,246.0,259.0,270.0,286.0,330
Profit before tax,4013.0,4277.0,4655.0,4083.0,5679.0,5588.0,5933.0,6956.0,6692.0,6241.0,7652.0,7842.0,8873
Tax %,25.0,29.0,31.0,31.0,28.0,27.0,29.0,29.0,22.0,22.0,19.0,23.0,
Net Profit,3048.0,3133.0,3380.0,3026.0,4061.0,4079.0,4219.0,4928.0,5212.0,4857.0,6166.0,6060.0,6842
EPS in Rs,105.35,108.26,116.82,104.56,140.35,140.98,145.8,170.29,180.11,167.85,213.08,214.17,241.80
