,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,50,54,109,115,115,120,120,121,121,121
Reserves,4750,7271,9491,15733,19582,32208,36798,43592,54251,59753
Borrowings,26655,37025,49250,66557,101588,129806,131634,165232,216690,256549
Other Liabilities,1325,2624,4881,2393,2948,2257,2918,3562,4166,5494
Total Liabilities,32780,46973,63731,84798,124233,164391,171470,212506,275229,321917
Fixed Assets,252,290,366,470,695,1321,1316,1716,2308,2686
CWIP,0,0,0,0,0,0,51,34,80,15
Investments,326,1029,4070,3139,8599,17544,18397,12246,22752,20722
Other Assets,32201,45654,59295,81189,114939,145526,151707,198510,250089,298493
Total Assets,32780,46973,63731,84798,124233,164391,171470,212506,275229,321917
