,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,72,80,80,80,80,80,80,80,80,80,80,159,159
Reserves,5027,7722,9232,11009,13519,16071,20403,23660,31222,35750,40167,46248,50713
Borrowings,10201,12991,19507,26312,36062,48282,65695,99754,127212,128461,161179,212265,251552
Other Liabilities,44154,44578,45565,50827,54290,64181,75337,84934,92791,115554,131987,146729,166899
Total Liabilities,59454,65370,74383,88228,103951,128614,161514,208428,251304,279845,333413,405401,469324
Fixed Assets,818,1208,1262,1261,1274,1645,1792,2097,3216,3182,3586,4336,4858
CWIP,18,2,1,3,11,4,28,66,45,129,113,191,73
Investments,43506,43251,45314,51367,53698,62658,69428,81679,91821,113654,119222,136176,145283
Other Assets,15113,20910,27805,35598,48969,64306,90266,124587,156223,162879,210493,264698,319110
Total Assets,59454,65370,74383,88228,103951,128614,161514,208428,251304,279845,333413,405401,469324
