,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,2715.0,8055.0,6023.0,11335.0,20533.0,24507.0,32862.0,42605.0,54351.0,60592.0,68406.0,82072.0,94682
Expenses,920.0,4124.0,1531.0,5823.0,13795.0,15794.0,22074.0,27569.0,36094.0,40950.0,46951.0,52204.0,59402
Operating Profit,1794.0,3931.0,4491.0,5511.0,6739.0,8713.0,10788.0,15037.0,18258.0,19641.0,21455.0,29868.0,35281
OPM %,66.0,49.0,75.0,49.0,33.0,36.0,33.0,35.0,34.0,32.0,31.0,36.0,37
Other Income,1190.0,2.0,3.0,8.0,0.0,0.0,1.0,2.0,0.0,-7.0,8.0,1.0,5
Interest,744.0,1204.0,1562.0,2230.0,2877.0,3716.0,4531.0,6657.0,9500.0,9274.0,9629.0,12380.0,15146
Depreciation,14.0,22.0,31.0,38.0,58.0,73.0,160.0,226.0,457.0,498.0,563.0,678.0,763
Profit before tax,2226.0,2708.0,2902.0,3251.0,3804.0,4925.0,6099.0,8155.0,8302.0,9862.0,11271.0,16811.0,19377
Tax %,15.0,18.0,24.0,26.0,27.0,30.0,32.0,34.0,28.0,25.0,26.0,27.0,
Net Profit,1890.0,2214.0,2191.0,2409.0,2775.0,3450.0,4176.0,5374.0,5994.0,7367.0,8314.0,12210.0,14100
EPS in Rs,8.4,9.89,9.71,10.62,11.71,14.21,16.65,20.23,21.17,28.09,28.63,40.29,46.59
