,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,412,423,431,444,462,462,530,530,925,1036,1036,1036,1036.0
Reserves,28104,32859,37416,41574,42041,42605,46036,54466,75179,81354,90833,104019,
Borrowings,416214,509192,616973,665483,620536,648499,672311,734456,1068981,1067173,1185331,1342592,
Other Liabilities,12670,16914,21284,26465,28134,27649,28919,30217,54850,53104,62922,78224,
Total Liabilities,457400,559387,676104,733966,691173,719216,747796,819670,1199935,1202667,1340121,1525871,
Fixed Assets,2428,2550,2849,2978,6359,5930,5532,7368,9268,8438,11098,9865,
CWIP,0,0,0,0,0,0,0,0,0,2,1,3,
Investments,86697,125617,122113,124739,128894,140716,175137,195716,289727,281859,347587,397487,
Other Assets,368275,431220,551142,606248,555920,572570,567126,616586,900941,912367,981435,1118516,
Total Assets,457400,559387,676104,733966,691173,719216,747796,819670,1199935,1202667,1340121,1525871,
