,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,30488.0,36442.0,40463.0,44915.0,45799.0,44473.0,46056.0,52906.0,78895.0,74314.0,73385.0,94139.0,109195
Interest,19724.0,24486.0,27604.0,30547.0,32107.0,29596.0,29160.0,32506.0,50040.0,43201.0,38815.0,49942.0,61540
Expenses,8215.0,10950.0,12049.0,13466.0,25391.0,19250.0,26093.0,25815.0,40583.0,38636.0,37518.0,38231.0,44909
Financing Profit,2549.0,1006.0,809.0,902.0,-11700.0,-4372.0,-9197.0,-5414.0,-11728.0,-7523.0,-2948.0,5965.0,2745
Financing Margin %,8.0,3.0,2.0,2.0,-26.0,-10.0,-20.0,-10.0,-15.0,-10.0,-4.0,6.0,3
Other Income,4051.0,4511.0,5555.0,5449.0,5992.0,7937.0,7992.0,7887.0,12191.0,15254.0,14395.0,16639.0,22770
Depreciation,295.0,322.0,368.0,368.0,525.0,540.0,901.0,948.0,1697.0,1357.0,1438.0,2032.0,0
Profit before tax,6304.0,5195.0,5996.0,5983.0,-6233.0,3024.0,-2106.0,1525.0,-1234.0,6373.0,10008.0,20573.0,25515
Tax %,17.0,9.0,18.0,36.0,19.0,41.0,9.0,29.0,176.0,77.0,23.0,29.0,
Net Profit,5269.0,4829.0,5036.0,3950.0,-5033.0,1855.0,-1836.0,1166.0,981.0,1620.0,7933.0,15005.0,18565
EPS in Rs,25.53,22.81,23.29,17.69,-21.99,7.88,-7.13,4.16,2.01,2.99,15.18,28.82,35.60
