,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,80,80,80,80,240,223,244,244,244,244,244,731,731
Reserves,5822,6407,7140,8037,9006,7512,7772,8968,9828,10816,12042,13131,14085
Borrowings,1,1,0,25,28,64,80,34,8,3,53,61,61
Other Liabilities,9138,8367,7760,7587,9330,9800,10868,11575,14271,18430,21574,21567,21389
Total Liabilities,15041,14855,14980,15729,18605,17600,18965,20821,24351,29492,33912,35490,36267
Fixed Assets,530,600,695,1073,1232,1501,1839,2298,2713,2652,2675,2963,3427
CWIP,147,328,458,140,430,743,940,849,828,883,1006,855,433
Investments,0,0,0,0,462,491,937,964,1110,1306,1572,650,651
Other Assets,14364,13926,13828,14516,16481,14865,15248,16710,19700,24651,28659,31022,31756
Total Assets,15041,14855,14980,15729,18605,17600,18965,20821,24351,29492,33912,35490,36267
