,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5914.0,6273.0,6518.0,7093.0,7354.0,8656.0,10401.0,12164.0,12968.0,14109.0,15368.0,17734.0,18174
Expenses,5280.0,5604.0,5593.0,5913.0,5961.0,6864.0,8361.0,9255.0,10209.0,10895.0,12024.0,13645.0,13792
Operating Profit,635.0,669.0,925.0,1179.0,1393.0,1792.0,2039.0,2909.0,2759.0,3214.0,3344.0,4090.0,4382
OPM %,11.0,11.0,14.0,17.0,19.0,21.0,20.0,24.0,21.0,23.0,22.0,23.0,24
Other Income,598.0,622.0,438.0,507.0,573.0,420.0,196.0,73.0,99.0,125.0,232.0,281.0,402
Interest,5.0,7.0,7.0,7.0,10.0,18.0,6.0,16.0,8.0,10.0,9.0,19.0,15
Depreciation,126.0,136.0,150.0,166.0,192.0,212.0,272.0,338.0,372.0,387.0,401.0,429.0,437
Profit before tax,1103.0,1147.0,1206.0,1513.0,1764.0,1983.0,1957.0,2628.0,2478.0,2942.0,3166.0,3923.0,4332
Tax %,23.0,21.0,21.0,21.0,24.0,24.0,28.0,30.0,28.0,30.0,26.0,25.0,
Net Profit,847.0,911.0,952.0,1197.0,1337.0,1523.0,1431.0,1887.0,1825.0,2100.0,2400.0,2986.0,3324
EPS in Rs,1.07,1.15,1.2,1.51,1.69,2.07,1.96,2.58,2.5,2.87,3.28,4.08,4.55
