,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,362,723,723,723,656,1311,1967,1967,1967,2093,2129,2129,2129
Reserves,15518,16052,18703,21825,27138,29508,34652,36798,34565,51462,49776,51393,68853
Borrowings,30153,33157,33152,25492,23388,35725,37659,44839,65476,54532,64534,69376,56335
Other Liabilities,31781,29696,35882,38281,35241,42541,46078,53322,48852,52891,71089,65210,83686
Total Liabilities,77814,79628,88460,86322,86422,109086,120356,136926,150860,160978,187529,188109,211003
Fixed Assets,24988,24721,27580,29109,25358,33684,45539,49315,60175,64098,83901,86675,96573
CWIP,4534,7463,9372,15787,17459,16834,9875,13654,17757,17037,15433,16249,7132
Investments,7891,7470,6985,7712,9401,21327,23725,24907,27029,26768,23616,26778,28165
Other Assets,40401,39974,44523,33714,34203,37241,41217,49050,45900,53075,64578,58406,79133
Total Assets,77814,79628,88460,86322,86422,109086,120356,136926,150860,160978,187529,188109,211003
