,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1899,1899,1999,1999,1999,1999,1999,1999,2728,2746,2795,2837,2858
Reserves,48712,48423,57757,37778,64771,65458,67536,69424,74417,56207,63759,74726,74627
Borrowings,69023,66736,75896,83415,100646,107288,111334,125428,148228,162785,169678,226020,217359
Other Liabilities,36265,40912,45840,58747,57056,57578,68653,77176,133718,122679,124975,140974,147253
Total Liabilities,155900,157970,181492,181939,224472,232322,249521,274026,359091,344417,361207,444557,442096
Fixed Assets,129168,125674,140614,124279,172293,178235,187200,200832,229256,223480,244083,277394,306477
CWIP,4414,2992,0,17415,5702,10838,9751,9634,4282,5726,5955,49425,13948
Investments,1836,7710,15531,10752,11977,14339,16159,15711,25476,27550,29349,32954,31518
Other Assets,20482,21594,25347,29494,34500,28910,36411,47850,100077,87661,81820,84784,90153
Total Assets,155900,157970,181492,181939,224472,232322,249521,274026,359091,344417,361207,444557,442096
