,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,71506.0,76947.0,85864.0,96101.0,96532.0,95468.0,82639.0,80780.0,84676.0,100616.0,116547.0,139145.0,146297
Expenses,47965.0,53987.0,59352.0,62499.0,62548.0,60138.0,52560.0,55016.0,51086.0,55337.0,59013.0,67871.0,70403
Operating Profit,23541.0,22960.0,26512.0,33602.0,33984.0,35330.0,30079.0,25764.0,33591.0,45279.0,57534.0,71274.0,75894
OPM %,33.0,30.0,31.0,35.0,35.0,37.0,36.0,32.0,40.0,45.0,49.0,51.0,52
Other Income,428.0,1159.0,2881.0,1243.0,4858.0,1713.0,1756.0,4474.0,-35600.0,-4215.0,4656.0,1019.0,-2658
Interest,4083.0,4519.0,5879.0,4446.0,8546.0,9547.0,9326.0,10622.0,14073.0,15091.0,16616.0,19300.0,20648
Depreciation,13368.0,14815.0,15650.0,19858.0,17450.0,19773.0,19243.0,21348.0,27094.0,29404.0,33091.0,36432.0,38092
Profit before tax,6518.0,4785.0,7864.0,10540.0,12846.0,7723.0,3267.0,-1732.0,-43177.0,-3432.0,12483.0,16561.0,14496
Tax %,35.0,53.0,62.0,52.0,46.0,45.0,33.0,197.0,29.0,-260.0,33.0,26.0,
Net Profit,4258.0,2267.0,3019.0,5048.0,6893.0,4241.0,2184.0,1688.0,-30664.0,-12364.0,8305.0,12287.0,10453
EPS in Rs,8.15,4.32,5.04,8.41,11.05,6.91,2.0,0.74,-55.06,-25.63,7.23,14.97,13.52
