,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,24,24,24,24,24,24,24,24,24,24,24,24,24
Reserves,385,534,774,1221,2068,2672,3382,4229,4379,3524,2534,3510,2824
Borrowings,604,380,150,145,131,125,201,156,1538,2122,2481,2997,2778
Other Liabilities,829,946,1159,1403,1271,1288,1581,1829,1889,2331,2487,2819,3123
Total Liabilities,1842,1883,2107,2793,3494,4109,5188,6238,7830,8000,7527,9351,8749
Fixed Assets,624,737,848,844,950,1160,1346,1688,1878,1793,1753,2655,2756
CWIP,111,147,107,48,90,30,203,101,40,117,536,105,83
Investments,249,108,198,518,788,487,1079,1476,2893,2781,1762,3324,1938
Other Assets,858,891,954,1383,1665,2432,2560,2972,3019,3310,3475,3266,3972
Total Assets,1842,1883,2107,2793,3494,4109,5188,6238,7830,8000,7527,9351,8749
