,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,5485.0,6185.0,6913.0,7858.0,8397.0,9054.0,9914.0,11055.0,11600.0,13136.0,14136.0,16301.0,16664
Expenses,5174.0,5765.0,6286.0,6988.0,7174.0,7776.0,8413.0,9322.0,9756.0,10627.0,11935.0,13470.0,13485
Operating Profit,311.0,421.0,627.0,870.0,1224.0,1278.0,1501.0,1732.0,1843.0,2509.0,2201.0,2831.0,3179
OPM %,6.0,7.0,9.0,11.0,15.0,14.0,15.0,16.0,16.0,19.0,16.0,17.0,19
Other Income,59.0,52.0,34.0,228.0,115.0,151.0,166.0,206.0,263.0,313.0,222.0,597.0,597
Interest,42.0,41.0,8.0,4.0,5.0,5.0,8.0,9.0,77.0,111.0,144.0,169.0,179
Depreciation,62.0,73.0,83.0,144.0,113.0,119.0,142.0,162.0,185.0,198.0,201.0,226.0,266
Profit before tax,267.0,358.0,569.0,950.0,1220.0,1304.0,1518.0,1768.0,1844.0,2514.0,2078.0,3033.0,3331
Tax %,25.0,27.0,30.0,28.0,32.0,32.0,34.0,35.0,24.0,26.0,27.0,24.0,
Net Profit,200.0,260.0,395.0,689.0,825.0,885.0,1004.0,1155.0,1394.0,1851.0,1516.0,2316.0,2532
EPS in Rs,8.35,10.85,16.48,28.71,34.36,36.85,41.83,48.23,58.33,77.38,63.31,96.39,105.29
