,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,443,443,461,475,543,597,733,753,1030,1647,1814,1814,1814.0
Reserves,22600,24733,29715,32017,31867,34088,36164,36936,40176,60763,68147,76240,
Borrowings,342508,376040,447913,499488,506712,534858,563756,640166,668170,1060998,1132626,1237160,
Other Liabilities,13531,18108,23000,26578,24603,26615,30781,33928,32064,56132,56202,65816,
Total Liabilities,379083,419324,501090,558558,563725,596159,631435,711783,741440,1179540,1258789,1381030,
Fixed Assets,2885,2883,6661,6969,7206,7185,8335,8433,8323,11269,11447,10334,
CWIP,3,1,1,1,0,0,0,0,0,2,2,0,
Investments,106497,127534,135445,152122,152470,162073,157444,168678,192645,286191,311347,352893,
Other Assets,269699,288907,358982,399466,404049,426901,465657,534672,540472,882077,935992,1017803,
Total Assets,379083,419324,501090,558558,563725,596159,631435,711783,741440,1179540,1258789,1381030,
