,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,30816.0,34070.0,39570.0,43813.0,44039.0,41457.0,41345.0,47951.0,49759.0,70253.0,70614.0,85885.0,99606
Interest,23159.0,26198.0,30606.0,34133.0,34263.0,31540.0,29113.0,32339.0,35817.0,45182.0,43035.0,52990.0,63185
Expenses,6535.0,7217.0,9636.0,10302.0,17785.0,15691.0,25582.0,27202.0,26809.0,43437.0,41235.0,42772.0,44933
Financing Profit,1121.0,655.0,-672.0,-621.0,-8008.0,-5775.0,-13350.0,-11590.0,-12867.0,-18367.0,-13657.0,-9877.0,-8511
Financing Margin %,4.0,2.0,-2.0,-1.0,-18.0,-14.0,-32.0,-24.0,-26.0,-26.0,-19.0,-12.0,-9
Other Income,3105.0,3308.0,4144.0,4733.0,5266.0,7852.0,7398.0,9907.0,11799.0,23086.0,23643.0,25325.0,26657
Depreciation,159.0,191.0,230.0,429.0,172.0,331.0,456.0,429.0,446.0,838.0,841.0,1021.0,0
Profit before tax,4066.0,3771.0,3242.0,3683.0,-2914.0,1746.0,-6408.0,-2111.0,-1514.0,3882.0,9145.0,14427.0,18145
Tax %,20.0,22.0,20.0,22.0,13.0,29.0,36.0,126.0,-34.0,30.0,37.0,25.0,
Net Profit,3306.0,2995.0,2672.0,2931.0,-2535.0,1411.0,-3873.0,696.0,-1921.0,2957.0,6158.0,11345.0,14006
EPS in Rs,68.58,60.94,51.84,54.81,-43.65,22.74,-53.89,7.99,-19.28,17.55,33.76,62.04,76.65
