,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,133,143,143,144,156,156,156,156,164,164,164,164,165.0
Reserves,1271,1809,2144,2531,3514,4142,4969,6052,8036,9436,11605,14182,15643.0
Preference Capital,0,0,0,500,0,0,0,0,0,0,0,0,
Borrowings,11444,15269,18075,19450,22546,24071,38330,50567,55005,63730,69174,97358,119471.0
Other Liabilities,649,1007,1182,1743,1673,2230,711,715,853,1314,1536,1923,2310.0
Total Liabilities,13497,18228,21544,23868,27889,30598,44167,57490,64058,74644,82478,113627,137588.0
Fixed Assets,56,73,74,69,120,150,170,167,283,228,259,403,501.0
CWIP,0,0,0,0,0,0,4,14,11,10,37,60,0.0
Investments,10,172,39,25,16,182,23,42,33,1583,2055,3562,3481.0
Other Assets,13430,17984,21431,23775,27753,30266,43970,57267,63732,72823,80127,109602,133607.0
Total Assets,13497,18228,21544,23868,27889,30598,44167,57490,64058,74644,82478,113627,137588.0
