,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,1784.0,2570.0,3279.0,3715.0,4214.0,4694.0,5559.0,7108.0,8712.0,9583.0,10148.0,12884.0,15802
Interest,990.0,1410.0,1769.0,1958.0,2048.0,2228.0,2657.0,3588.0,4592.0,4576.0,4298.0,5748.0,7488
Expenses,546.0,688.0,932.0,1061.0,1266.0,1322.0,1451.0,1632.0,2421.0,2913.0,2926.0,3621.0,4379
Financing Profit,248.0,472.0,578.0,696.0,899.0,1143.0,1451.0,1888.0,1699.0,2094.0,2924.0,3515.0,3935
Financing Margin %,14.0,18.0,18.0,19.0,21.0,24.0,26.0,27.0,20.0,22.0,29.0,27.0,25
Other Income,52.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,56.0,84.0,220.0,307
Depreciation,10.0,22.0,25.0,30.0,22.0,39.0,51.0,57.0,111.0,102.0,101.0,121.0,143
Profit before tax,289.0,452.0,554.0,666.0,879.0,1107.0,1401.0,1832.0,1588.0,2048.0,2908.0,3615.0,4099
Tax %,42.0,32.0,34.0,33.0,35.0,35.0,34.0,35.0,34.0,26.0,26.0,26.0,
Net Profit,169.0,308.0,368.0,444.0,575.0,718.0,918.0,1197.0,1054.0,1521.0,2154.0,2665.0,3023
EPS in Rs,2.55,4.3,5.14,6.18,7.36,9.21,11.76,15.32,12.86,18.55,26.23,32.42,36.77
