,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,161,161,161,161,161,161,161,161,161,161,161,161,161
Reserves,7478,8858,9890,10641,11356,12383,14068,14851,15602,18165,20680,23246,24664
Borrowings,29,967,1248,1703,5202,4113,4098,4316,2816,2014,1056,803,961
Other Liabilities,1682,1672,2102,3166,4331,4213,4346,4433,4843,4514,4960,5089,5591
Total Liabilities,9350,11658,13400,15670,21049,20869,22673,23762,23423,24855,26857,29300,31377
Fixed Assets,3215,3610,6496,6830,9368,9492,9950,9608,9683,9516,9683,9160,9397
CWIP,371,378,442,581,2061,1683,981,676,825,969,766,1093,791
Investments,1269,2532,709,640,759,973,1259,2554,1471,2710,2551,3662,4272
Other Assets,4494,5138,5753,7620,8862,8721,10483,10923,11444,11661,13857,15384,16917
Total Assets,9350,11658,13400,15670,21049,20869,22673,23762,23423,24855,26857,29300,31377
