,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,7021.0,8279.0,10173.0,11345.0,13790.0,14394.0,15156.0,16362.0,17132.0,19160.0,21763.0,22753.0,24556
Expenses,5325.0,6065.0,8026.0,9183.0,11310.0,11898.0,12329.0,13265.0,13926.0,14907.0,17211.0,17726.0,18747
Operating Profit,1696.0,2214.0,2147.0,2163.0,2480.0,2496.0,2826.0,3097.0,3206.0,4252.0,4553.0,5027.0,5809
OPM %,24.0,27.0,21.0,19.0,18.0,17.0,19.0,19.0,19.0,22.0,21.0,22.0,24
Other Income,103.0,245.0,251.0,164.0,208.0,208.0,280.0,477.0,344.0,266.0,99.0,293.0,379
Interest,38.0,34.0,146.0,168.0,207.0,159.0,114.0,168.0,197.0,161.0,106.0,110.0,108
Depreciation,312.0,330.0,373.0,505.0,754.0,1323.0,1323.0,1326.0,1175.0,1068.0,1052.0,1172.0,1148
Profit before tax,1448.0,2095.0,1880.0,1654.0,1727.0,1222.0,1669.0,2079.0,2178.0,3290.0,3493.0,4038.0,4932
Tax %,21.0,26.0,25.0,24.0,19.0,15.0,15.0,27.0,29.0,27.0,27.0,30.0,
Net Profit,1144.0,1545.0,1404.0,1229.0,1383.0,1035.0,1417.0,1492.0,1500.0,2389.0,2547.0,2833.0,3483
EPS in Rs,14.25,19.24,17.29,14.71,16.93,12.51,17.52,18.96,19.18,29.82,31.19,34.71,42.77
