,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6316,6316,6316,6316,6316,6207,6207,6163,6163,6163,6163,6163,6163
Reserves,34137,42156,36088,34037,28517,18311,13971,20292,25994,30355,36980,51082,63523
Borrowings,1527,1305,178,408,1199,3014,1538,2210,6434,5884,3514,4331,6313
Other Liabilities,65006,61206,62356,70505,77528,91054,103754,104356,111430,118649,132780,148300,142137
Total Liabilities,106986,110983,104938,111267,113560,118587,125471,133021,150020,161051,179436,209876,218136
Fixed Assets,13440,13466,14784,16115,22082,23811,27574,32618,36784,42405,46677,51961,57641
CWIP,2903,3496,4316,5159,4553,8585,10273,9658,8328,10490,12897,17622,16143
Investments,1981,2395,3775,2813,2906,1483,1704,3170,1973,5950,8921,7139,8355
Other Assets,88661,91626,82063,87179,84018,84708,85920,87576,102936,102206,110942,133154,135997
Total Assets,106986,110983,104938,111267,113560,118587,125471,133021,150020,161051,179436,209876,218136
