,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,72424.0,68303.0,70608.0,74120.0,77861.0,78164.0,85244.0,99586.0,96080.0,90026.0,109715.0,138252.0,142081
Expenses,57131.0,50216.0,52842.0,56777.0,59147.0,65716.0,75956.0,74579.0,74500.0,71398.0,84995.0,101442.0,106167
Operating Profit,15293.0,18087.0,17766.0,17343.0,18714.0,12448.0,9288.0,25007.0,21581.0,18628.0,24721.0,36810.0,35915
OPM %,21.0,26.0,25.0,23.0,24.0,16.0,11.0,25.0,22.0,21.0,23.0,27.0,25
Other Income,8005.0,8752.0,7169.0,6570.0,5939.0,5316.0,4975.0,5834.0,6444.0,3742.0,3866.0,6551.0,7564
Interest,56.0,46.0,59.0,9.0,388.0,410.0,430.0,264.0,503.0,642.0,541.0,684.0,759
Depreciation,1969.0,1813.0,1996.0,2320.0,2826.0,2907.0,3063.0,3450.0,3451.0,3718.0,4429.0,4675.0,4921
Profit before tax,21273.0,24979.0,22880.0,21584.0,21440.0,14446.0,10770.0,27127.0,24071.0,18009.0,23616.0,38001.0,37798
Tax %,30.0,31.0,34.0,36.0,33.0,36.0,35.0,36.0,31.0,29.0,26.0,26.0,
Net Profit,14788.0,17356.0,15112.0,13727.0,14267.0,9280.0,7038.0,17464.0,16700.0,12702.0,17378.0,28125.0,28002
EPS in Rs,23.41,27.48,23.92,21.73,22.59,14.95,11.34,28.34,27.12,20.61,28.17,45.7,45.52
