,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,55,55,55,55,55,55,55,55,55,55,55,55,55
Reserves,1988,2331,2510,2831,3426,3687,3931,4075,4120,4351,4797,5313,5596
Borrowings,0,0,0,0,0,251,252,309,504,33,412,373,271
Other Liabilities,1059,1283,1208,1435,1009,1048,1294,1414,1275,1257,1540,1771,1943
Total Liabilities,3102,3670,3773,4322,4490,5041,5531,5854,5954,5697,6805,7512,7865
Fixed Assets,465,493,919,1234,1289,1500,2019,2013,2264,2185,2204,2222,2301
CWIP,50,121,96,171,519,463,38,159,80,128,61,41,49
Investments,598,628,495,465,334,707,549,285,824,369,615,1085,1330
Other Assets,1990,2428,2262,2452,2348,2370,2925,3397,2786,3015,3925,4164,4186
Total Assets,3102,3670,3773,4322,4490,5041,5531,5854,5954,5697,6805,7512,7865
