,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4117.0,4589.0,3977.0,4406.0,4709.0,5077.0,5082.0,5659.0,5158.0,4329.0,6140.0,7744.0,8215
Expenses,3420.0,3754.0,3280.0,3674.0,3934.0,4276.0,4345.0,4795.0,4567.0,3729.0,5260.0,6502.0,6797
Operating Profit,697.0,835.0,697.0,732.0,775.0,802.0,738.0,864.0,590.0,600.0,880.0,1243.0,1417
OPM %,17.0,18.0,18.0,17.0,16.0,16.0,15.0,15.0,11.0,14.0,14.0,16.0,17
Other Income,175.0,268.0,178.0,287.0,226.0,208.0,279.0,293.0,308.0,349.0,425.0,406.0,484
Interest,5.0,5.0,4.0,1.0,10.0,17.0,15.0,16.0,20.0,16.0,12.0,16.0,24
Depreciation,42.0,47.0,53.0,80.0,81.0,85.0,94.0,110.0,119.0,126.0,134.0,140.0,145
Profit before tax,825.0,1051.0,818.0,937.0,910.0,908.0,908.0,1030.0,759.0,808.0,1159.0,1492.0,1733
Tax %,28.0,27.0,27.0,16.0,17.0,19.0,22.0,30.0,17.0,24.0,24.0,24.0,
Net Profit,591.0,764.0,600.0,786.0,754.0,735.0,708.0,723.0,629.0,618.0,887.0,1130.0,1323
EPS in Rs,21.33,27.57,21.65,28.35,27.21,26.5,25.56,26.07,22.7,22.29,31.99,40.76,47.72
