,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,340,340,356,356,357,357,357,441,495,495,495,495,495.0
Reserves,25097,25389,27039,27013,23712,24216,34204,32385,33952,34849,35867,37192,37360.0
Preference Capital,1799,1799,1799,0,0,0,0,0,0,100,0,0,
Borrowings,25066,24801,22334,24495,25264,29202,17491,17222,8103,6785,4182,3334,3317.0
Other Liabilities,12887,14117,14796,14398,12396,10179,8533,16434,13341,11358,10623,11551,14886.0
Total Liabilities,63389,64647,64525,66262,61729,63954,60585,66483,55890,53488,51167,52572,56058.0
Fixed Assets,20339,19849,18835,19619,3943,24640,8082,6322,5187,4856,4862,4785,4779.0
CWIP,8993,7834,5979,5901,1779,153,137,103,89,95,81,61,61.0
Investments,1127,1334,891,623,21310,1209,20832,21005,18566,19746,19779,19481,19824.0
Other Assets,32931,35630,38820,40119,34697,37952,31533,39053,32049,28791,26444,28245,31393.0
Total Assets,63389,64647,64525,66262,61729,63954,60585,66483,55890,53488,51167,52572,56058.0
