,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9576.0,7773.0,8298.0,7649.0,9926.0,8221.0,6707.0,8366.0,6083.0,5414.0,5717.0,5695.0,5722
Expenses,5935.0,5140.0,5805.0,4635.0,5960.0,4775.0,4329.0,6218.0,4937.0,3945.0,3974.0,3969.0,3988
Operating Profit,3641.0,2633.0,2493.0,3014.0,3966.0,3446.0,2378.0,2148.0,1146.0,1469.0,1743.0,1726.0,1734
OPM %,38.0,34.0,30.0,39.0,40.0,42.0,35.0,26.0,19.0,27.0,30.0,30.0,30
Other Income,836.0,1279.0,1133.0,503.0,506.0,1135.0,9722.0,784.0,1135.0,383.0,195.0,317.0,412
Interest,2246.0,2314.0,2463.0,2304.0,2680.0,2980.0,2951.0,2062.0,1427.0,853.0,625.0,392.0,355
Depreciation,689.0,796.0,663.0,545.0,766.0,572.0,534.0,225.0,200.0,159.0,149.0,149.0,148
Profit before tax,1541.0,802.0,500.0,668.0,1026.0,1030.0,8615.0,646.0,653.0,840.0,1165.0,1502.0,1643
Tax %,24.0,17.0,-16.0,24.0,55.0,22.0,50.0,43.0,326.0,43.0,28.0,27.0,
Net Profit,1167.0,667.0,590.0,507.0,305.0,708.0,4477.0,1314.0,-590.0,1083.0,1500.0,2034.0,2236
EPS in Rs,7.07,4.19,3.63,3.03,1.72,4.01,25.02,5.98,-2.36,4.42,6.06,8.22,9.05
