,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,174,174,174,176,176,176,176,177,177,177,177,177,177
Reserves,1543,1921,2482,3178,3995,4671,5530,5455,6429,7487,8205,8796,9310
Borrowings,1068,1151,708,734,805,975,938,699,522,509,1030,1174,1489
Other Liabilities,1415,1462,1948,2019,1956,1910,2058,2106,2209,2661,2872,3505,3791
Total Liabilities,4200,4709,5312,6106,6932,7732,8702,8437,9337,10833,12284,13652,14767
Fixed Assets,1641,1582,1767,1877,1667,1958,2028,1969,2253,2243,2308,3579,3558
CWIP,27,93,22,50,45,42,42,64,147,147,168,175,259
Investments,483,929,1076,1813,2691,3240,3805,3359,2800,4160,6220,6265,6922
Other Assets,2050,2105,2447,2365,2529,2492,2827,3045,4137,4283,3589,3633,4029
Total Assets,4200,4709,5312,6106,6932,7732,8702,8437,9337,10833,12284,13652,14767
