,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,27,27,27,27,53,53,53,53,53,53,53,53,53
Reserves,2105,2474,2937,3469,4240,5304,5872,6904,7257,9242,11675,12714,12624
Borrowings,55,33,18,27,42,36,63,106,39,5,4,3,5
Other Liabilities,570,605,729,883,562,762,797,973,1183,1471,1628,1654,1601
Total Liabilities,2757,3139,3710,4405,4898,6155,6785,8036,8531,10771,13360,14425,14283
Fixed Assets,738,909,1222,1309,1439,1559,1996,2088,2782,3704,4325,4723,4654
CWIP,182,303,144,218,264,444,120,492,920,711,470,212,496
Investments,477,408,502,733,803,1631,1889,1946,971,0,72,77,80
Other Assets,1359,1519,1842,2145,2392,2521,2780,3511,3858,6356,8493,9413,9053
Total Assets,2757,3139,3710,4405,4898,6155,6785,8036,8531,10771,13360,14425,14283
