,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1864.0,2145.0,2532.0,3115.0,3776.0,4064.0,3891.0,4946.0,5394.0,6969.0,8960.0,7768.0,7346
Expenses,1173.0,1329.0,1514.0,1942.0,2354.0,2615.0,2622.0,3072.0,3568.0,4102.0,5075.0,5397.0,5467
Operating Profit,691.0,816.0,1018.0,1173.0,1423.0,1450.0,1269.0,1874.0,1826.0,2867.0,3885.0,2370.0,1878
OPM %,37.0,38.0,40.0,38.0,38.0,36.0,33.0,38.0,34.0,41.0,43.0,31.0,26
Other Income,56.0,45.0,68.0,38.0,93.0,72.0,107.0,154.0,186.0,57.0,112.0,344.0,347
Interest,5.0,3.0,3.0,3.0,5.0,3.0,2.0,5.0,7.0,2.0,2.0,2.0,1
Depreciation,62.0,77.0,92.0,136.0,118.0,123.0,142.0,169.0,186.0,256.0,312.0,343.0,362
Profit before tax,681.0,781.0,991.0,1072.0,1393.0,1395.0,1231.0,1855.0,1819.0,2666.0,3684.0,2369.0,1863
Tax %,22.0,23.0,22.0,21.0,19.0,24.0,29.0,27.0,24.0,26.0,20.0,23.0,
Net Profit,533.0,602.0,773.0,852.0,1126.0,1060.0,877.0,1353.0,1377.0,1984.0,2960.0,1823.0,1332
EPS in Rs,20.09,22.67,29.13,32.07,42.41,39.95,33.04,50.96,51.85,74.75,111.52,68.69,50.17
