,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,85,85,85,85,85,83,83,83,83,83,83,83,83
Reserves,4904,6284,7780,9768,12484,12179,12489,13941,15516,17558,19129,23203,25413
Borrowings,3234,3682,4477,4314,3352,4918,5071,3838,2210,3031,3384,1347,1323
Other Liabilities,3082,3329,3563,4290,4408,4474,4706,4557,5414,5915,7149,7576,7990
Total Liabilities,11305,13380,15906,18457,20330,21654,22349,22418,23223,26588,29746,32209,34809
Fixed Assets,3412,4051,4641,5377,6563,6931,6968,7191,6850,8206,8122,9219,10090
CWIP,708,565,639,529,772,3324,3470,2934,1535,1565,1293,1030,1151
Investments,208,197,1067,2248,3833,2110,2298,2587,2678,2212,2616,4986,4457
Other Assets,6977,8567,9559,10303,9162,9290,9612,9707,12160,14605,17715,16974,19111
Total Assets,11305,13380,15906,18457,20330,21654,22349,22418,23223,26588,29746,32209,34809
