,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,9814.0,11833.0,13415.0,15023.0,15568.0,14196.0,14281.0,15448.0,17517.0,19048.0,21545.0,24670.0,26766
Expenses,7371.0,9164.0,10164.0,11515.0,11983.0,11724.0,11930.0,12270.0,15040.0,15173.0,17778.0,18200.0,19223
Operating Profit,2444.0,2669.0,3251.0,3508.0,3585.0,2472.0,2351.0,3178.0,2477.0,3874.0,3768.0,6470.0,7543
OPM %,25.0,23.0,24.0,23.0,23.0,17.0,16.0,21.0,14.0,20.0,17.0,26.0,28
Other Income,-7.0,146.0,170.0,260.0,295.0,172.0,155.0,381.0,670.0,335.0,555.0,971.0,708
Interest,114.0,100.0,127.0,108.0,83.0,63.0,79.0,89.0,98.0,97.0,96.0,143.0,150
Depreciation,518.0,550.0,648.0,760.0,939.0,1027.0,1077.0,1135.0,1163.0,1229.0,1165.0,1250.0,1368
Profit before tax,1804.0,2165.0,2646.0,2900.0,2859.0,1554.0,1350.0,2336.0,1886.0,2884.0,3061.0,6048.0,6734
Tax %,28.0,29.0,26.0,19.0,26.0,19.0,32.0,17.0,-7.0,32.0,29.0,25.0,
Net Profit,1301.0,1527.0,1963.0,2336.0,2131.0,1292.0,947.0,1950.0,2026.0,1952.0,2182.0,4507.0,5091
EPS in Rs,76.72,89.9,115.41,137.13,124.88,77.96,57.07,117.42,121.92,117.35,131.14,270.66,305.58
