,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,27,27,27,27,27,27,27,27,27,27,27,27,27
Reserves,1466,1728,2028,2489,3626,5318,7003,8891,9954,11411,12581,14963,15904
Borrowings,43,23,84,58,23,112,151,187,249,219,108,288,416
Other Liabilities,2257,2694,3197,3829,1263,1552,2341,2281,2220,2901,3424,3919,4715
Total Liabilities,3793,4471,5337,6403,4939,7009,9522,11387,12450,14559,16140,19198,21062
Fixed Assets,504,992,1656,2309,790,873,1502,1875,2378,2433,2424,2690,3158
CWIP,352,504,464,419,94,374,333,450,312,314,505,472,167
Investments,513,638,825,1078,3388,4987,5581,4923,5749,3902,7721,12321,12965
Other Assets,2424,2337,2391,2597,667,775,2106,4140,4011,7909,5490,3715,4772
Total Assets,3793,4471,5337,6403,4939,7009,9522,11387,12450,14559,16140,19198,21062
