,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,574.0,1111.0,1768.0,2441.0,3774.0,5144.0,5693
Expenses,601.0,1091.0,1685.0,2283.0,3610.0,4887.0,5390
Operating Profit,-27.0,21.0,83.0,158.0,164.0,257.0,303
OPM %,-5.0,2.0,5.0,6.0,4.0,5.0,5
Other Income,4.0,5.0,10.0,12.0,27.0,30.0,31
Interest,7.0,27.0,46.0,32.0,47.0,76.0,79
Depreciation,7.0,31.0,60.0,72.0,96.0,173.0,210
Profit before tax,-37.0,-32.0,-12.0,66.0,47.0,38.0,44
Tax %,25.0,23.0,-31.0,7.0,13.0,35.0,
Net Profit,-28.0,-25.0,-16.0,62.0,41.0,21.0,24
EPS in Rs,-3.47,-2.87,-1.9,6.82,0.14,0.07,0.07
