,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1268,1268,1268,1268,1268,1691,2255,2255,4510,4440,4440,6575,6575
Reserves,23646,27526,31188,32754,35135,37614,39424,43749,44758,48742,59674,58352,66284
Borrowings,11506,16472,18537,18291,9052,6553,3876,2224,6912,7873,9216,17816,17951
Other Liabilities,11479,14542,15872,17355,13608,12433,15798,20199,18754,19975,23254,25062,25392
Total Liabilities,47899,59809,66865,69669,59063,58291,61353,68426,74934,81030,96584,107805,116202
Fixed Assets,19863,24303,25995,32143,29946,28302,28860,31475,37121,40188,43718,48407,52278
CWIP,14705,18376,18490,13806,3688,4126,5938,9738,11666,13400,15490,16646,21124
Investments,1183,1254,1282,1272,9844,10125,10452,10722,9893,13058,16408,17248,18827
Other Assets,12148,15876,21099,22448,15584,15737,16102,16493,16253,14385,20968,25504,23973
Total Assets,47899,59809,66865,69669,59063,58291,61353,68426,74934,81030,96584,107805,116202
