,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,34,34,34,34,34,34,68,102,102,102,102,102,102
Reserves,2770,3279,3741,4277,4233,5268,6190,7165,7796,9337,11454,13692,14398
Borrowings,1877,2456,2373,2717,2891,4001,3508,3382,3575,1864,1704,1130,3275
Other Liabilities,1317,1926,2171,2097,2521,3637,4098,3445,3407,2941,2822,2513,2844
Total Liabilities,5998,7695,8320,9125,9679,12940,13864,14094,14880,14244,16082,17437,20619
Fixed Assets,3692,4496,5121,5551,5931,8083,8315,8670,9231,8905,9219,9934,12669
CWIP,38,141,167,225,44,97,84,52,57,57,116,45,55
Investments,0,121,136,186,190,934,997,516,672,679,1015,3029,3008
Other Assets,2269,2937,2895,3164,3514,3826,4468,4855,4920,4602,5731,4429,4887
Total Assets,5998,7695,8320,9125,9679,12940,13864,14094,14880,14244,16082,17437,20619
