,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4853.0,6412.0,7599.0,8273.0,8424.0,9268.0,9847.0,10314.0,9911.0,11029.0,12276.0,13316.0,13850
Expenses,3991.0,5417.0,6430.0,6894.0,6766.0,7361.0,7763.0,8183.0,7757.0,8629.0,9867.0,10873.0,11135
Operating Profit,863.0,995.0,1169.0,1379.0,1657.0,1907.0,2084.0,2132.0,2154.0,2399.0,2409.0,2443.0,2715
OPM %,18.0,16.0,15.0,17.0,20.0,21.0,21.0,21.0,22.0,22.0,20.0,18.0,20
Other Income,252.0,194.0,62.0,73.0,-262.0,76.0,283.0,362.0,32.0,23.0,78.0,114.0,112
Interest,73.0,87.0,120.0,112.0,128.0,154.0,173.0,238.0,228.0,138.0,122.0,188.0,244
Depreciation,64.0,77.0,82.0,91.0,101.0,142.0,156.0,170.0,197.0,204.0,210.0,236.0,263
Profit before tax,977.0,1025.0,1030.0,1249.0,1167.0,1687.0,2039.0,2085.0,1760.0,2080.0,2155.0,2133.0,2320
Tax %,23.0,17.0,20.0,22.0,29.0,22.0,20.0,-12.0,15.0,17.0,17.0,20.0,
Net Profit,751.0,845.0,819.0,976.0,831.0,1308.0,1634.0,2342.0,1497.0,1721.0,1783.0,1702.0,1750
EPS in Rs,7.12,7.8,7.44,8.88,8.1,12.76,15.99,22.91,14.64,16.83,17.44,16.65,17.11
