,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,78,78,99,100,108,108,108,115,126,139,139,139,139
Reserves,1365,1351,1694,1747,1657,1896,1102,2354,4682,8181,8536,9125,9320
Borrowings,2087,1678,2574,3486,3123,3980,3703,3516,3715,4593,5196,6431,10262
Other Liabilities,1179,1572,1779,2030,1691,1197,3358,2107,1567,3333,3932,7410,9711
Total Liabilities,4709,4679,6147,7363,6578,7181,8271,8092,10090,16245,17804,23105,29433
Fixed Assets,46,51,64,117,107,102,113,97,113,174,183,218,236
CWIP,19,36,62,73,1,0,71,100,163,229,340,653,773
Investments,0,0,0,0,664,760,1454,2637,3571,5243,4883,2534,4373
Other Assets,4644,4593,6021,7173,5807,6319,6633,5259,6243,10599,12397,19700,24052
Total Assets,4709,4679,6147,7363,6578,7181,8271,8092,10090,16245,17804,23105,29433
