,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,770.0,1037.0,1179.0,1843.0,2123.0,1583.0,1604.0,2817.0,2441.0,765.0,1825.0,2252.0,3122
Expenses,650.0,751.0,897.0,1586.0,1986.0,1330.0,1819.0,2639.0,2181.0,1214.0,1880.0,2045.0,3075
Operating Profit,120.0,286.0,283.0,257.0,137.0,253.0,-216.0,178.0,260.0,-449.0,-56.0,207.0,47
OPM %,16.0,28.0,24.0,14.0,6.0,16.0,-13.0,6.0,11.0,-59.0,-3.0,9.0,1
Other Income,88.0,10.0,75.0,83.0,146.0,150.0,499.0,419.0,473.0,568.0,761.0,787.0,1133
Interest,5.0,3.0,4.0,5.0,41.0,104.0,150.0,234.0,220.0,185.0,167.0,174.0,177
Depreciation,4.0,4.0,6.0,10.0,14.0,14.0,16.0,14.0,21.0,20.0,21.0,24.0,27
Profit before tax,199.0,289.0,347.0,326.0,228.0,284.0,117.0,348.0,493.0,-86.0,516.0,795.0,975
Tax %,35.0,32.0,32.0,28.0,30.0,27.0,26.0,27.0,44.0,-121.0,32.0,22.0,
Net Profit,129.0,197.0,236.0,236.0,160.0,207.0,87.0,253.0,274.0,-189.0,351.0,621.0,717
EPS in Rs,4.92,6.95,8.0,9.58,7.33,9.56,4.01,11.04,10.73,-6.81,12.68,20.55,23.82
