,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,92,92,92,92,93,93,131,132,132,132,132,132,132.0
Reserves,16935,19565,21523,23048,27336,31294,57230,57888,56501,65362,75567,78610,83039.0
Preference Capital,19,0,0,0,0,0,56,69,11,11,11,11,
Borrowings,7038,9550,9681,11930,12505,9213,67014,84418,84766,79067,74733,103027,121928.0
Other Liabilities,12466,14916,16441,18963,19642,22147,83523,98689,102783,122788,138718,155053,166471.0
Total Liabilities,36531,44123,47736,54033,59576,62747,207899,241127,244181,267349,289149,336823,371569.0
Fixed Assets,17549,20561,25209,31828,34271,34786,69257,87129,87736,85023,88996,94896,96865.0
CWIP,2461,6084,4045,2755,1788,1297,2290,2766,3904,5769,6615,7778,12765.0
Investments,7876,8011,7611,7255,10601,14200,65995,62747,66337,88017,96766,105355,81865.0
Other Assets,8645,9467,10872,12194,12916,12464,70356,88484,86204,88540,96771,128793,180075.0
Total Assets,36531,44123,47736,54033,59576,62747,207899,241127,244181,267349,289149,336823,371569.0
