,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,25245.0,27909.0,28331.0,31734.0,34487.0,36068.0,55894.0,77200.0,68252.0,76404.0,95701.0,117627.0,123386
Expenses,19666.0,21986.0,23416.0,26590.0,28576.0,28682.0,44281.0,60560.0,57880.0,57769.0,75270.0,96038.0,99988
Operating Profit,5579.0,5924.0,4915.0,5144.0,5911.0,7387.0,11612.0,16640.0,10373.0,18635.0,20431.0,21589.0,23398
OPM %,22.0,21.0,17.0,16.0,17.0,20.0,21.0,22.0,15.0,24.0,21.0,18.0,19
Other Income,742.0,824.0,576.0,530.0,1320.0,1076.0,410.0,-1846.0,7076.0,1130.0,1648.0,3733.0,3860
Interest,314.0,324.0,447.0,667.0,718.0,702.0,3663.0,6060.0,6890.0,5723.0,4776.0,6044.0,7682
Depreciation,1154.0,1252.0,1457.0,1563.0,1834.0,1808.0,2724.0,3571.0,4004.0,4033.0,4161.0,4552.0,4774
Profit before tax,4852.0,5171.0,3586.0,3443.0,4679.0,5952.0,5635.0,5163.0,6554.0,10009.0,13143.0,14727.0,14801
Tax %,27.0,28.0,20.0,30.0,26.0,29.0,35.0,47.0,-1.0,30.0,15.0,25.0,
Net Profit,3595.0,3778.0,2954.0,2582.0,3455.0,4246.0,3688.0,2745.0,6639.0,6987.0,11206.0,11078.0,11411
EPS in Rs,57.74,58.92,45.13,37.95,52.91,67.85,40.75,25.75,67.07,65.42,114.69,103.69,100.61
