,2012-06-01,2013-06-01,2014-06-01,2015-06-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,139,139,140,281,282,285,278,271,543,543,543,543,543
Reserves,9699,13025,19410,23943,27109,32664,36108,41095,50724,59370,61371,64862,65140
Borrowings,2179,1044,1018,648,1090,582,557,4195,7986,6864,6343,4794,5268
Other Liabilities,6320,8191,9412,10372,10859,12231,11046,12788,23566,19270,20664,23051,22628
Total Liabilities,18338,22399,29980,35245,39341,45762,47989,58349,82819,86047,88921,93250,93579
Fixed Assets,6453,6753,7444,8275,9716,15235,18753,22888,37490,37145,35077,34619,35834
CWIP,578,494,531,552,611,448,320,235,400,312,129,40,56
Investments,673,713,662,869,698,1306,2660,2305,7066,6862,6351,5495,5583
Other Assets,10633,14440,21343,25548,28315,28773,26256,32921,37863,41728,47364,53096,52106
Total Assets,18338,22399,29980,35245,39341,45762,47989,58349,82819,86047,88921,93250,93579
