,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,25,25,25,25,25,105,106,106,106,107,107,107
Reserves,677,876,1095,1126,1398,2149,2964,3923,4670,5423,6002,5918
Borrowings,0,0,0,0,0,0,0,0,0,0,0,0
Other Liabilities,765,220,192,272,177,218,153,279,319,350,428,405
Total Liabilities,1467,1121,1312,1423,1600,2472,3224,4309,5095,5880,6537,6430
Fixed Assets,19,28,34,31,31,31,40,157,153,135,150,138
CWIP,0,0,0,1,2,6,3,5,1,0,2,0
Investments,665,737,651,986,1237,2058,2935,3945,4753,5570,6079,5960
Other Assets,784,357,627,405,329,378,246,203,187,175,305,332
Total Assets,1467,1121,1312,1423,1600,2472,3224,4309,5095,5880,6537,6430
