,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,777.0,898.0,1056.0,1490.0,1568.0,1870.0,2075.0,2124.0,2194.0,2429.0,2478.0,2318
Expenses,321.0,372.0,432.0,775.0,776.0,802.0,709.0,431.0,388.0,515.0,549.0,584
Operating Profit,456.0,525.0,624.0,715.0,792.0,1068.0,1366.0,1693.0,1806.0,1913.0,1929.0,1734
OPM %,59.0,59.0,59.0,48.0,51.0,57.0,66.0,80.0,82.0,79.0,78.0,75
Other Income,7.0,6.0,9.0,4.0,20.0,0.0,22.0,19.0,8.0,4.0,4.0,480
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,10.0,9
Depreciation,16.0,8.0,10.0,11.0,12.0,9.0,13.0,50.0,55.0,54.0,53.0,52
Profit before tax,447.0,522.0,623.0,708.0,800.0,1058.0,1375.0,1653.0,1749.0,1855.0,1871.0,2153
Tax %,29.0,32.0,33.0,33.0,31.0,33.0,32.0,24.0,24.0,25.0,24.0,
Net Profit,319.0,358.0,416.0,478.0,550.0,711.0,931.0,1262.0,1326.0,1393.0,1424.0,1661
EPS in Rs,126.28,141.74,164.61,189.9,218.64,33.78,43.78,59.32,62.26,65.32,66.72,77.81
