,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,469,476,480,501,506,513,519,545,548,551,555,558,758.0
Reserves,29741,36167,43687,62653,73798,91281,109080,153128,175810,209259,246772,288880,
Borrowings,272874,335588,416677,509762,649587,741550,944817,1080235,1333041,1511418,1784970,2139212,
Other Liabilities,37971,35492,42776,34181,38321,59000,48770,58898,71430,78279,90639,101783,
Total Liabilities,341055,407723,503620,607097,762212,892344,1103186,1292806,1580830,1799507,2122934,2530432,
Fixed Assets,2378,2773,3026,3225,3667,4000,4008,4369,4776,5248,6432,8431,
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,
Investments,96795,110960,119571,149454,193634,210777,238461,289446,389305,438823,449264,511582,
Other Assets,241882,293989,381023,454417,564912,677567,860717,998991,1186750,1355435,1667238,2010419,
Total Assets,341055,407723,503620,607097,762212,892344,1103186,1292806,1580830,1799507,2122934,2530432,
