,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Revenue,28193.0,35861.0,42555.0,50666.0,63162.0,73271.0,85288.0,105161.0,122189.0,128552.0,135936.0,170754.0,218758
Interest,15106.0,19695.0,23445.0,27288.0,34070.0,38042.0,42381.0,53713.0,62137.0,59248.0,58584.0,77780.0,110316
Expenses,10858.0,12631.0,13508.0,16164.0,20055.0,23856.0,29532.0,34856.0,45459.0,52457.0,56557.0,63042.0,98271
Financing Profit,2229.0,3534.0,5602.0,7214.0,9037.0,11374.0,13374.0,16592.0,14593.0,16848.0,20795.0,29932.0,10171
Financing Margin %,8.0,10.0,13.0,14.0,14.0,16.0,16.0,16.0,12.0,13.0,15.0,18.0,5
Other Income,5992.0,7133.0,8298.0,9546.0,11212.0,12905.0,16057.0,18947.0,24879.0,27333.0,31759.0,33912.0,61112
Depreciation,554.0,663.0,689.0,680.0,738.0,886.0,967.0,1221.0,1277.0,1385.0,1681.0,2345.0,0
Profit before tax,7667.0,10004.0,13211.0,16079.0,19511.0,23393.0,28464.0,34318.0,38195.0,42796.0,50873.0,61498.0,71283
Tax %,31.0,31.0,34.0,33.0,34.0,35.0,35.0,35.0,29.0,26.0,25.0,25.0,
Net Profit,5277.0,6903.0,8768.0,10703.0,12821.0,15317.0,18561.0,22446.0,27296.0,31857.0,38151.0,46149.0,55085
EPS in Rs,11.18,14.44,18.22,21.32,25.32,29.81,35.66,41.0,49.7,57.74,68.62,82.44,89.63
