,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1995,1995,1995,1995,1998,2012,2017,2019,2021,2113,2149,2150
Reserves,-658,-67,546,1108,1828,2693,3625,4788,6619,13501,10844,11518
Borrowings,0,0,0,0,0,0,0,0,600,600,950,950
Other Liabilities,40581,50347,66767,73441,91270,105778,124378,125417,170415,214521,233929,258000
Total Liabilities,41918,52275,69309,76544,95097,110483,130020,132224,179655,230734,247872,272618
Fixed Assets,252,279,346,335,337,336,370,322,585,6605,997,393
CWIP,29,10,6,12,16,5,10,8,14,20,31,0
Investments,40404,50527,67024,74144,91723,106590,124958,127256,173564,216551,238197,264936
Other Assets,1232,1458,1932,2053,3020,3551,4682,4637,5493,7559,8647,7289
Total Assets,41918,52275,69309,76544,95097,110483,130020,132224,179655,230734,247872,272618
