,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,14060.0,17166.0,27215.0,18141.0,30647.0,32260.0,38855.0,29380.0,71528.0,67126.0,70207.0,86947
Expenses,13535.0,16561.0,26341.0,17187.0,29674.0,31186.0,37640.0,28239.0,70294.0,66348.0,70127.0,87603
Operating Profit,525.0,605.0,874.0,953.0,972.0,1074.0,1215.0,1141.0,1235.0,778.0,80.0,-656
OPM %,4.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,-1
Other Income,28.0,241.0,79.0,108.0,139.0,282.0,136.0,369.0,445.0,766.0,1437.0,1525
Interest,15.0,11.0,-14.0,8.0,9.0,11.0,14.0,0.0,0.0,0.0,0.0,0
Depreciation,35.0,41.0,43.0,45.0,41.0,44.0,45.0,47.0,51.0,56.0,76.0,0
Profit before tax,502.0,794.0,924.0,1008.0,1061.0,1300.0,1291.0,1463.0,1629.0,1487.0,1441.0,869
Tax %,11.0,9.0,15.0,19.0,16.0,15.0,1.0,11.0,16.0,11.0,5.0,
Net Profit,447.0,725.0,786.0,817.0,887.0,1107.0,1278.0,1297.0,1361.0,1327.0,1368.0,1473
EPS in Rs,2.24,3.64,3.94,4.09,4.44,5.5,6.33,6.43,6.73,6.28,6.37,6.85
