,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,62,62,62,62,62,62,63,63,63,63,63,63,63
Reserves,893,1380,1604,1756,2965,3214,3667,4135,4249,5114,5940,6563,6837
Borrowings,1027,982,1054,424,134,208,115,94,72,521,616,223,268
Other Liabilities,2193,2034,2613,2546,1225,1683,2763,2856,2690,3155,3904,4309,3850
Total Liabilities,4175,4458,5332,4788,4387,5168,6608,7148,7073,8852,10523,11157,11018
Fixed Assets,1391,1500,1600,1541,1224,1300,2819,2904,3350,3290,3434,3621,3839
CWIP,66,25,44,38,20,12,24,233,86,90,57,166,143
Investments,0,0,0,0,189,162,0,0,0,306,426,201,20
Other Assets,2718,2933,3688,3209,2954,3694,3765,4012,3638,5166,6606,7170,7016
Total Assets,4175,4458,5332,4788,4387,5168,6608,7148,7073,8852,10523,11157,11018
