,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6452.0,7135.0,8051.0,8468.0,7594.0,6130.0,8116.0,10073.0,9440.0,10457.0,13938.0,16911.0,17721
Expenses,5778.0,6461.0,7274.0,7713.0,6798.0,5315.0,7083.0,8885.0,8374.0,8868.0,12163.0,15290.0,15995
Operating Profit,674.0,674.0,777.0,755.0,796.0,815.0,1033.0,1189.0,1067.0,1589.0,1775.0,1621.0,1726
OPM %,10.0,9.0,10.0,9.0,10.0,13.0,13.0,12.0,11.0,15.0,13.0,10.0,10
Other Income,25.0,222.0,35.0,48.0,949.0,42.0,97.0,124.0,107.0,187.0,159.0,178.0,204
Interest,128.0,123.0,102.0,96.0,91.0,13.0,25.0,16.0,51.0,90.0,67.0,55.0,35
Depreciation,95.0,110.0,116.0,139.0,134.0,121.0,140.0,149.0,218.0,249.0,261.0,296.0,309
Profit before tax,476.0,664.0,594.0,569.0,1520.0,723.0,965.0,1147.0,904.0,1438.0,1607.0,1447.0,1585
Tax %,22.0,12.0,25.0,32.0,14.0,32.0,31.0,31.0,19.0,27.0,26.0,26.0,
Net Profit,370.0,581.0,446.0,385.0,1300.0,494.0,661.0,788.0,735.0,1044.0,1196.0,1072.0,1178
EPS in Rs,5.93,9.32,7.15,6.17,20.82,7.91,10.6,12.59,11.75,16.68,19.1,17.11,18.79
